Jahr,Katholisch,Evangelisch,Gesamt
2001,"32,3 %","32,1 %","64,4 %"
2002,"32,1 %","31,8 %","63,8 %"
2003,"31,7 %","31,3 %","63,0 %"
2004,"31,5 %","31,1 %","62,6 %"
2005,"31,4 %","30,8 %","62,2 %"
2006,"31,2 %","30,5 %","61,7 %"
2007,"31,0 %","30,2 %","61,2 %"
2008,"30,7 %","29,9 %","60,6 %"
2009,"30,5 %","29,6 %","60,0 %"
2010,"30,2 %","29,2 %","59,4 %"
2011,"29,9 %","28,9 %","58,8 %"
2012,"30,2 %","29,0 %","59,2 %"
2013,"29,9 %","28,5 %","58,4 %"
2014,"29,5 %","27,9 %","57,4 %"
2015,"28,9 %","27,1 %","56,0 %"
2016,"28,5 %","26,5 %","55,0 %"
