Jahr,Bevölkerung,Kath. Kirche,in %,Evang. Kirche,in %
1999,1 704 735,177 881,"10,4",610 689,"35,8"
2000,1 715 392,177 872,"10,4",599 184,"34,9"
2001,1 726 363,178 940,"10,4",587 321,"34,0"
2002,1 728 806,177 829,"10,3",577 545,"33,4"
2003,1 734 083,178 165,"10,3",567 480,"32,7"
2004,1 734 830,175 203,"10,1",558 996,"32,2"
2005,1 743 627,177 721,"10,2",552 195,"31,7"
2006,1 754 182,180 544,"10,3",547 663,"31,2"
2007,1 770 629,182 072,"10,3",544 113,"30,7"
2008,1 772 100,181 148,"10,2",539 334,"30,4"
2009,1 774 224,178 811,"10,1",530 288,"29,9"
2010,1 786 448,180 180,"10,1",522 121,"29,2"
2011,1 798 836,183 051,"10,2",515 870,"28,7"
2012,1 734 272,185 774,"10,7",516 435,"29,8"
2013,1 746 342,187 359,"10,7",505 849,"29,0"
2014,1 762 791,191 213,"10,8",492 055,"27,9"
2015,1 787 408,191 952,"10,7",482 645,"27,0"
2016,,194 053,,473 990,
